Current projects signed as at 31 March 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique HMT Project ID,Project Name,Department,Procuring authority,Sector,Constituency,Region,Project Status,Date Of OJEU,Date of preferred bidder,Date of financial close,Date of construction completion,First date of operations,Operational period of contract (years),On / Off balance sheet under IFRS,On / Off balance sheet under ESA 95,On / Off balance sheet under UK GAAP,Capital Value (£m),Unitary charge payment 1992-93 (£m),Unitary charge payment 1993-94 (£m),Unitary charge payment 1994-95 (£m),Unitary charge payment 1995-96 (£m),Unitary charge payment 1996-97 (£m),Unitary charge payment 1997-98 (£m),Unitary charge payment 1998-99 (£m),Unitary charge payment 1999-00 (£m),Unitary charge payment 2000-01 (£m),Unitary charge payment 2001-02 (£m),Unitary charge payment 2002-03 (£m),Unitary charge payment 2003-04 (£m),Unitary charge payment 2004-05 (£m),Unitary charge payment 2005-06 (£m),Unitary charge payment 2006-07 (£m),Unitary charge payment 2007-08 (£m),Unitary charge payment 2008-09 (£m),Unitary charge payment 2009-10 (£m),Unitary charge payment 2010-11 (£m),Unitary charge payment 2011-12 (£m),Unitary charge payment 2012-13 (£m),Estimated unitary charge payment 2013-14 (£m),Estimated unitary charge payment 2014-15 (£m),Estimated unitary charge payment 2015-16 (£m),Estimated unitary charge payment 2016-17 (£m),Estimated unitary charge payment 2017-18 (£m),Estimated unitary charge payment 2018-19 (£m),Estimated unitary charge payment 2019-20 (£m),Estimated unitary charge payment 2020-21 (£m),Estimated unitary charge payment 2021-22 (£m),Estimated unitary charge payment 2022-23 (£m),Estimated unitary charge payment 2023-24 (£m),Estimated unitary charge payment 2024-25 (£m),Estimated unitary charge payment 2025-26 (£m),Estimated unitary charge payment 2026-27 (£m),Estimated unitary charge payment 2027-28 (£m),Estimated unitary charge payment 2028-29 (£m),Estimated unitary charge payment 2029-30 (£m),Estimated unitary charge payment 2030-31 (£m),Estimated unitary charge payment 2031-32 (£m),Estimated unitary charge payment 2032-33 (£m),Estimated unitary charge payment 2033-34 (£m),Estimated unitary charge payment 2034-35 (£m),Estimated unitary charge payment 2035-36 (£m),Estimated unitary charge payment 2036-37 (£m),Estimated unitary charge payment 2037-38 (£m),Estimated unitary charge payment 2038-39 (£m),Estimated unitary charge payment 2039-40 (£m),Estimated unitary charge payment 2040-41 (£m),Estimated unitary charge payment 2041-42 (£m),Estimated unitary charge payment 2042-43 (£m),Estimated unitary charge payment 2043-44 (£m),Estimated unitary charge payment 2044-45 (£m),Estimated unitary charge payment 2045-46 (£m),Estimated unitary charge payment 2046-47 (£m),Estimated unitary charge payment 2047-48 (£m),Estimated unitary charge payment 2048-49 (£m),Estimated unitary charge payment 2049-50 (£m),Estimated unitary charge payment 2050-51 (£m),Estimated unitary charge payment 2051-52 (£m),Estimated unitary charge payment 2052-53 (£m),Estimated unitary charge payment 2053-54 (£m),Estimated unitary charge payment 2054-55 (£m),Estimated unitary charge payment 2055-56 (£m),Estimated unitary charge payment 2056-57 (£m),Estimated unitary charge payment 2057-58 (£m),Estimated unitary charge payment 2058-59 (£m),Estimated unitary charge payment 2059-60 (£m),Equity holder 1: Name,Equity holder 1: Equity share (%),"Equity holder 1: change of ownership since March 2011? 
(Yes / No)",Equity holder 2: Name,Equity holder 2: Equity share (%),"Equity holder 2: change of ownership since March 2011? 
(Yes / No)",Equity holder 3: Name,Equity holder 3: Equity share (%),"Equity holder 3: change of ownership since March 2011? 
(Yes / No)",Equity holder 4: Name,Equity holder 4: Equity share (%),"Equity holder 4: change of ownership since March 2011? 
(Yes / No)",Equity holder 5: Name,Equity holder 5: Equity share (%),"Equity holder 5: change of ownership since March 2011? 
(Yes / No)",Equity holder 6: Name,Equity holder 6: Equity share (%),"Equity holder 6: change of ownership since March 2011? 
(Yes / No)",SPV name,SPV company number,SPV address
14,BSF Wave1,DEPARTMENT FOR EDUCATION (GROUP),Bristol,Schools (BSF),Bristol East,ENGLAND_South West,InOperation,2004-11-01,N/K,2006-07-01,2008-01-01,2007-09-01,28,ON,N/K,OFF,119.2,,,,,,,,,,,,,,,,2.1,10.0,14.3,14.5,14.6,14.8,14.9,15.1,15.3,15.5,15.7,15.9,16.1,16.3,16.5,16.7,16.9,17.1,17.3,17.6,17.8,18.0,18.3,18.6,18.8,19.1,19.4,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,Investors in the Community,41.5%,NO,Skanska Infrastructure Develoment UK Limited,41.5%,NO,Amber Infrastructure,16.0%,NO,Bristol City Council,1.0%,NO,,,,,,,N/K,N/K,N/K
15,Brighton & Hove - Four Schools,DEPARTMENT FOR EDUCATION (GROUP),Brighton and Hove,Schools (Non-BSF),More than one,ENGLAND_South East,InOperation,2000-08-14,N/K,2002-03-07,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,25,ON,N/K,OFF,24.5,,,,,,,,,,,,3.6,3.6,3.4,3.2,3.2,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.6,3.7,3.7,3.8,3.8,3.9,4.0,4.0,4.1,4.2,4.2,4.3,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semperian PPP Investment Partners GP,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
16,Bristol City Council Schools Phase 1A,DEPARTMENT FOR EDUCATION (GROUP),Bristol,Schools (Non-BSF),More than one,ENGLAND_South West,InOperation,2002-09-11,N/K,2004-04-01,2006-04-01,2005-09-01,27,ON,N/K,OFF,60.5,,,,,,,,,,,,,,2.5,9.9,9.7,9.6,9.4,9.3,9.1,9.0,8.9,8.8,8.7,8.6,8.6,8.5,8.4,8.4,8.4,8.3,8.3,8.3,8.3,8.3,8.4,8.4,8.4,8.5,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAM PFI Investments bv,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
17,BSF Wave1,DEPARTMENT FOR EDUCATION (GROUP),Bradford,Schools (BSF),More than one,ENGLAND_Yorkshire and the Humber,InOperation,2004-09-01,2005-09-01,2006-12-18,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,26,ON,N/K,OFF,103.3,,,,,,,,,,,,,,,,,6.7,11.1,11.2,11.3,11.4,11.5,11.6,11.8,11.9,12.0,12.1,12.3,12.4,12.5,12.7,12.8,13.0,13.1,13.3,13.4,13.6,13.7,13.9,14.1,14.3,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Amey Ventures,6.0%,NO,Costain,44.0%,NO,HSBC,34.0%,NO,Amber Infrastructure,15.0%,NO,Bradford Metropolitan District Council,1.0%,NO,,,,N/K,N/K,N/K
18,Tower Hamlets Group schools,DEPARTMENT FOR EDUCATION (GROUP),Tower Hamlets,Schools (Non-BSF),More than one,ENGLAND_London,InOperation,1998-09-25,N/K,2002-06-28,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,26,ON,N/K,OFF,91.7,,,,,,,,,,,4.5,7.2,9.0,9.9,11.7,12.1,12.3,12.4,12.6,12.8,13.0,13.1,13.3,13.5,13.6,13.8,14.0,14.1,14.3,14.5,14.6,14.8,15.0,15.1,15.3,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amber Infrastructure,100.0%,YES,,,,,,,,,,,,,,,,N/K,N/K,N/K
19,Ellesmere Port Schools,DEPARTMENT FOR EDUCATION (GROUP),Cheshire West and Chester,Schools (Non-BSF),Ellesmere Port and Neston,ENGLAND_North West,InOperation,2001-01-01,N/K,2002-10-01,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,31,ON,N/K,OFF,,,,,,,,,,,,,0.9,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.9,1.9,2.0,2.0,2.1,2.1,2.1,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric Wright Group,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
20,York Schools PFI,DEPARTMENT FOR EDUCATION (GROUP),York,Schools (Non-BSF),More than one,ENGLAND_Yorkshire and the Humber,InOperation,2003-01-01,N/K,2005-01-17,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,31,ON,N/K,OFF,19.1,,,,,,,,,,,,,,0.4,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,Sewell Group plc,50.0%,NO,Barclays Capital,50.0%,NO,,,,,,,,,,,,,N/K,N/K,N/K
21,Schools 2,DEPARTMENT FOR EDUCATION (GROUP),Cornwall,Schools (Non-BSF),More than one,ENGLAND_South West,InOperation,2002-09-02,N/K,2004-03-31,2007-08-30,2005-08-01,28,ON,N/K,OFF,48.6,,,,,,,,,,,,,2.9,4.3,5.9,9.3,8.2,8.3,8.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interserve PFI Holdings Limited,50.0%,NO,Halifax Bank of Scotland,50.0%,NO,,,,,,,,,,,,,Pyramid Schools (Cornwall) Limited,4988242,"Interserve House, Ruscombe Park, Twyford, Reading, Berks RG10 9JU"
23,Caludon Castle PFI,DEPARTMENT FOR EDUCATION (GROUP),Coventry,Schools (Non-BSF),Coventry North East,ENGLAND_West Midlands,InOperation,2002-10-25,N/K,2004-12-01,2007-07-02,2006-02-21,33,ON,N/K,OFF,24.3,,,,,,,,,,,,,0.0,0.5,2.8,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Bilfinger Berger BOT Limited,100.0%,NO,,,,,,,,,,,,,,,,Coventry Education Partnership,5188350,"3rd Floor, Braywick Gate, Braywick Road, Maidenhead, Berkshire.       SL16 1DA"
24,Darlington Five Schools Project,DEPARTMENT FOR EDUCATION (GROUP),Darlington,Schools (Non-BSF),Darlington,ENGLAND_North East,InOperation,2003-01-31,N/K,2004-03-30,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,30,ON,N/K,OFF,34.9,,,,,,,,,,,,,,0.4,4.8,4.7,4.6,4.5,4.5,4.4,4.4,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kajima Partnership Limited,50.0%,NO,HSBC Infrastructure Limited,50.0%,NO,,,,,,,,,,,,,N/K,N/K,N/K
25,Derby Grouped Schools ,DEPARTMENT FOR EDUCATION (GROUP),Derby,Schools (Non-BSF),Derby South,ENGLAND_East Midlands,InOperation,2003-03-31,N/K,2004-12-01,2006-09-01,2006-09-01,28,ON,ON,OFF,37.8,,,,,,,,,,,,,0.1,0.5,3.5,5.4,5.4,5.5,5.4,5.3,5.2,5.1,5.1,5.0,5.0,4.9,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.9,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VB Investments Ltd,100.0%,NO,,,,,,,,,,,,,,,,Derby School Solutions Ltd,5071716,"Astral House,Imperial Way,Watford,Hertfordshire,WD24 4WW"
26,Grouped Schools,DEPARTMENT FOR EDUCATION (GROUP),Derbyshire,Schools (Non-BSF),More than one,ENGLAND_East Midlands,InOperation,2000-05-26,N/K,2001-03-01,2003-04-28,2003-04-28,29,ON,N/K,OFF,,,,,,,,,,,,,3.6,4.1,4.1,4.2,4.2,4.3,4.3,4.3,4.4,4.4,4.5,4.5,4.5,4.6,4.6,4.7,4.7,4.7,4.8,4.8,4.9,4.9,5.0,5.0,5.0,5.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Axa IM,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
27,Schools Phase 2,DEPARTMENT FOR EDUCATION (GROUP),Derbyshire,Schools (Non-BSF),More than one,ENGLAND_East Midlands,InOperation,2000-05-26,N/K,2004-08-06,2006-02-13,2006-02-13,29,ON,N/K,OFF,,,,,,,,,,,,,,,0.4,4.5,4.5,4.5,4.6,4.6,4.7,4.7,4.7,4.8,4.8,4.9,4.9,5.0,5.0,5.0,5.1,5.1,5.2,5.2,5.3,5.3,5.4,5.4,5.5,5.5,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sumitomo Mitsui Banking Corporation Europe Limited ,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
28,Exeter Group Schools PFI,DEPARTMENT FOR EDUCATION (GROUP),Devon,Schools (Non-BSF),Exeter,ENGLAND_South West,InOperation,2002-09-11,N/K,2004-03-26,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,29,ON,N/K,OFF,100.0,,,,,,,,,,,,,,4.2,10.3,12.9,12.9,12.8,13.0,12.9,12.8,12.9,12.8,12.7,12.8,12.7,12.6,12.7,12.6,12.5,12.4,12.3,12.2,12.3,12.1,11.9,11.7,11.9,11.9,11.5,11.2,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Innisfree,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
29,Doncaster Two secondary schools,DEPARTMENT FOR EDUCATION (GROUP),Doncaster,Schools (Non-BSF),More than one,ENGLAND_Yorkshire and the Humber,InOperation,2005-09-27,N/K,2007-05-01,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,29,ON,N/K,OFF,48.5,,,,,,,,,,,,,,,,,1.9,5.7,5.8,5.9,5.9,6.0,6.1,6.1,6.2,6.3,6.3,6.4,6.5,6.6,6.6,6.7,6.8,6.9,7.0,7.1,7.2,7.3,7.4,7.5,7.6,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Vinci Investments,50.0%,NO,N/K,50.0%,NO,,,,,,,,,,,,,N/K,N/K,N/K
30,The Sir John Colfox School,DEPARTMENT FOR EDUCATION (GROUP),Dorset,Schools (Non-BSF),West Dorset,ENGLAND_South West,InOperation,1996-07-01,N/K,1997-11-18,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,35,ON,N/K,OFF,13.9,,,,,,,,1.5,2.2,2.3,2.3,2.4,2.4,2.4,2.5,2.4,2.4,2.5,2.5,2.5,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.8,2.9,2.9,3.0,3.0,3.1,3.1,3.2,3.2,3.3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnson Workplace Management Group,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
32,Dudley - Paragon,DEPARTMENT FOR EDUCATION (GROUP),Dudley,Schools (Non-BSF),More than one,ENGLAND_West Midlands,InOperation,2000-10-06,N/K,2002-01-30,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,33,ON,N/K,OFF,18.0,,,,,,,,,,,,1.7,2.2,2.3,2.4,2.5,2.6,2.6,2.7,2.7,2.8,2.8,2.9,3.0,3.0,3.1,3.1,3.2,3.3,3.3,3.4,3.5,3.6,3.6,3.7,3.8,3.9,3.9,4.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barclays Private Equity,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
