1,12/06/1998,Serco Group plc,"Defence Helicopter Flying School (FBS Limited, operational contract – 47 helicopters and site services)",1,01/12/1996,FR Aviation Ltd and Bristow Helicopter Group,33,3.4 plus net liabilities ,4.6,1.58,179.3,Serco AR 1998 p39,Serco Press 12/06/1998,
31,13/06/2003,Wackenhut Corrections Corporation Inc,Hassockfield Secure Training Centre,,12/11/1998,Serco Group plc,see above,see above,see above,see above,see above,Serco Press 3/07/2003,,
32,01/07/2003,Melville Dundas Ltd,"Larkfield Geriatric Assessment Facility, Scotland",3,31/05/1999,Dawn Construction,n/a,n/a,n/a,n/a,n/a,McGrigors.com accessed 15/4/2009,,
33,01/07/2003,Melville Dundas Ltd,"James Watt Campus, Kilwinning",,01/03/1999,Dawn Construction,n/a,n/a,n/a,n/a,n/a,McGrigors.com accessed 15/4/2009,,
33,01/07/2003,Melville Dundas Ltd,"Castle Hill Community Learning Facility, Bolton",,31/07/2001,Dawn Construction,n/a,n/a,n/a,n/a,n/a,McGrigors.com accessed 15/4/2009,,
34,01/07/2003,John Laing plc,A19 road Dishforth to Tyne Tunnel,1,15/10/1996,PFI Investors Ltd,50,3.4,No profit or loss,6.67,0,"Laing AR 2003 p24, 32",Partnerships UK Database,
35,14/08/2003,Vinci plc,"Lloyd George Avenue and Callaghan Square City Link Road, Cardiff",1,09/07/1999,Vinci plc Pension Scheme,50,1,nil,4,0,Vinci plc AR 2004,,
36,01/11/2003,Carillion plc,Darent Valley Hospital,1,30/07/1997,Barclays Infrastructure Fund,50,5.2,1.1 (also 10.8 refinance profit),6.25,4.3,Carillion AR 2003 p4 and 10,Project Finance Dec 2003,"Bridgewell Securities, Daily Telegraph 21/05/2007 and 21/05/2008"
37,21/11/2003,WS Atkins plc,Connect Roads - A50/A564 Stoke-Derby,3,26/05/1996,Balfour Beatty plc,32.1,13.3,8.9,5.14,39.4,Atkins RNS 21/11/2003 (see also previous profits) ,,
37,21/11/2003,WS Atkins plc,A30/A35 Exeter-Bere Regis,,24/07/1996,Balfour Beatty plc,n/a,see above,see above,see above,see above,Atkins AR 2004 p32,,
37,21/11/2003,WS Atkins plc,M77 Scotland,,01/04/2003,Balfour Beatty plc,n/a,see above,see above,see above,see above,"Bridgewell Securities, Daily Telegraph 21/05/2007",,
38,01/03/2004,WS Atkins plc ,Cornwall County Council Grouped Schools l,1,01/03/2001,Innisfree Ltd,40,n/a,n/a,n/a,n/a,WS Atkins AR 2004 p56,Partnerships UK database,
39,01/03/2004,Mowlem Construction,Cornwall County Council Grouped Schools l,1,01/03/2001,Innisfree Ltd,20,n/a,n/a,n/a,n/a,Partnerships UK database,,
40,01/03/2004,WS Atkins plc,"Lammas Community School, Waltham Forest",3,01/02/2000,Innisfree Ltd,"42.5, ",n/a,n/a,n/a,n/a,WS Atkins AR 2004 p56,,
40,01/03/2004,WS Atkins plc,London Borough of Merton Schools,,25/11/2002,Innisfree Ltd,42.5,n/a,n/a,n/a,n/a,WS Atkins AR 2004 p56,,
40,01/03/2004,WS Atkins plc,"Swanscombe Schools, Dartford",,24/05/2001,Innisfree Ltd,65,n/a,n/a,n/a,n/a,WS Atkins AR 2004 p56,,
41,01/03/2004,Jarvis plc ,"Army Foundation College, ",18,01/02/2000,Secondary Market Infrastructure Fund,51,18,n/a,n/a,n/a,Jarvis AR 2004 p67,,
41,01/03/2004,Jarvis plc ,Brighton & Hove Grouped Schools ,,07/03/2002,Secondary Market Infrastructure Fund,50,18,n/a,n/a,n/a,SMIF.com accessed 06/06/2006,,
41,01/03/2004,Jarvis plc ,Haringey Grouped Schools,,20/10/2000,Secondary Market Infrastructure Fund,50,18,n/a,n/a,n/a,Partnerships UK database,,
41,01/03/2004,Jarvis plc ,Kirklees Grouped Schools,,22/02/2001,Secondary Market Infrastructure Fund,35,18,n/a,n/a,n/a,Partnerships UK database,,
41,01/03/2004,Jarvis plc ,Liverpool Grouped Schools ,,28/09/2001,Secondary Market Infrastructure Fund,50,18,n/a,n/a,n/a,Partnerships UK database,,
41,01/03/2004,Jarvis plc ,London Borough of Richmond Grouped Schools ,,06/06/2002,Secondary Market Infrastructure Fund,50,18,n/a,n/a,n/a,Partnerships UK database,,
41,01/03/2004,Jarvis plc ,"Sandhill City Learning Centre, Sunderland ",,17/08/2001,Secondary Market Infrastructure Fund,50,18,n/a,n/a,n/a,Partnerships UK database,,
41,01/03/2004,Jarvis plc ,Torbay schools ,,01/03/2000,Secondary Market Infrastructure Fund,50,18,n/a,n/a,n/a,Partnerships UK database,,
41,01/03/2004,Jarvis plc ,Wirral Grouped Schools,,27/03/2001,Secondary Market Infrastructure Fund,50,18,n/a,n/a,n/a,Partnerships UK database,,
41,01/03/2004,Jarvis plc ,"Cruciform Building, University College London",,01/12/1997,Secondary Market Infrastructure Fund,50,18,n/a,n/a,n/a,Partnerships UK database,,
41,01/03/2004,Jarvis plc ,Tyne & Wear Fire Stations ,,28/03/2003,Secondary Market Infrastructure Fund,50,18,n/a,n/a,n/a,Partnerships UK database,,
41,01/03/2004,Jarvis plc ,Belfast Courts ,,19/02/1999,Secondary Market Infrastructure Fund,33.3,18,n/a,n/a,n/a,Partnerships UK database,,
41,01/03/2004,Jarvis plc ,LBC Richmond on Thames Grouped Primary Schools,,01/06/2002,Secondary Market Infrastructure Fund,50,18,n/a,n/a,n/a,Partnerships UK database,,
41,01/03/2004,Jarvis plc ,Bridlington Schools,,20/12/2000,Secondary Market Infrastructure Fund,50,18,n/a,n/a,n/a,Partnerships UK database,,
41,01/03/2004,Jarvis plc ,Salford SEN Schools Project ,,20/03/2003,Secondary Market Infrastructure Fund,50,18,n/a,n/a,n/a,Partnerships UK database,,
41,01/03/2004,Jarvis plc ,"Ambulatory Care Centre, City Hospital, Birmingham",,19/12/2001,Secondary Market Infrastructure Fund,50,18,n/a,n/a,n/a,Partnerships UK database,,
41,01/03/2004,Jarvis plc ,"Debden Park High School, Essex",,31/03/2000,Secondary Market Infrastructure Fund,50,18,n/a,n/a,n/a,Partnerships UK database,,
41,01/03/2004,Jarvis plc,n/a,,n/a,Secondary Market Infrastructure Fund,n/a,n/a,n/a,n/a,n/a,n/a,,
42,01/03/2004,Rotch Property,"Cruciform Building, University College London (50%)",1,01/12/1997,Secondary Market Infrastructure Fund,50,n/a,n/a,n/a,n/a,Partnerships UK database,,
43,01/03/2004,Anglian Water Group,"Tay Wastewater Project, Scotland (Acquired stake in takeover of Morrison Construction in 2000)",1,16/12/1999,Henderson Private Capital,33.3,12,8,4.25,47.1,"Global Water Intelligence, Vol. 5, Issue 4, April 2004",Partnerships UK Database,
44,01/04/2004,Noble PFI Fund,Sheffield Grouped Schools Phase 2,1,08/04/2004,Secondary Market Infrastructure Fund,60,n/a,n/a,n/a,n/a,Partnerships UK Database,,
45,28/06/2004,Carillion plc ,M40 Denham to Warwick,1,10/09/1996,John Laing plc ,50,19,7.7,3.83,16.1,Carillion plc AR 2004 p66,,
46,28/06/2004,Carillion plc,"A249 Stockbury to Sheerness, Kent",1,01/02/2004,John Laing plc,50,1.2,see above,see above,see above,Laing Press 28/06/2004,Carillion plc AR 2004 p66,
47,01/07/2004,Health Care Development Advisory Ltd,Bishop Auckland Hospital,1,28/05/1999,Henderson Infrastructure,24,n/a,n/a,n/a,n/a,Partnerships UK Database,,
48,01/07/2004,International Water (Bechtel Corporation: US & Edison: Italy joint venture,Tay Wastewater,3,16/12/1999,Infrastructure Investors,100,27.1,n/a,n/a,n/a,"Global Water Intelligence, Vol. 5, No. 7, July 2004",,
48,01/07/2004,International Water (Bechtel Corporation: US & Edison: Italy joint venture,Highland Wastewater,,16/12/1996,Infrastructure Investors,100,27.1,n/a,n/a,n/a,Partnerships UK Database,,
48,01/07/2004,International Water (Bechtel Corporation: US & Edison: Italy joint venture,"Moray Wastewater project, Scotland",,06/06/2001,Infrastructure Investors,100,27.1,n/a,n/a,n/a,Partnerships UK Database,,
49,01/07/2004,"HBOS, Uberior (Lloyds) and Quayle Munro Holdings plc","Larkfield Hospital, Scotland",4,31/05/1999,PFI Infrastructure Company,90,8.2 (1.9 to QMH),n/a,n/a,n/a,"PFI Infrastructure Co Prospectus, July 2004",,
49,01/07/2004,"HBOS, Uberior (Lloyds) and Quayle Munro Holdings plc",James Watt College of Further Education,,01/03/1999,PFI Infrastructure Company,90,8.2 (1.9 to QMH),n/a,n/a,n/a,Partnerships UK Database,,
49,01/07/2004,"HBOS, Uberior (Lloyds) and Quayle Munro Holdings plc","Castle Hill Community Learning Centre, Bolton",,31/07/2001,PFI Infrastructure Company,10,8.2 (1.9 to QMH),n/a,n/a,n/a,Partnerships UK Database,,
49,01/07/2004,"HBOS, Uberior (Lloyds) and Quayle Munro Holdings plc","MoD Central Scotland Family Quarters, Bannockburn",,18/08/1999,PFI Infrastructure Company,98,8.2 (1.9 to QMH),n/a,n/a,n/a,Partnerships UK Database,,
50,01/07/2004,Group 4 Falck,"HMP Altcourse Prison, Liverpool",1,20/12/1995,Global Solutions Ltd,50,n/a,n/a,n/a,n/a,Partnerships UK database,,
51,01/07/2004,Interserve plc,Newcastle Estate Partnership,1,08/01/1998,Secondary Market Infrastructure Fund,30,26,n/a,n/a,n/a,"SMIF Update, SMIF.com accessed 06/06/2006",Interserve AR 2003 and 2004,
52,01/07/2004,Noble PFI Fund,Wansbeck General Hospital,19,16/11/2000,Infrastructure Investors,100,n/a,n/a,n/a,n/a,"The Value of PFI, PwC",,
52,01/07/2004,Noble PFI Fund,Bodmin Hospital,,31/10/2000,Infrastructure Investors,100,n/a,n/a,n/a,n/a,"PPP In-Depth, City & Financial Bulletin, 2006",,
52,01/07/2004,Noble PFI Fund,Luton & Dunstable Hospital,,21/11/2000,Infrastructure Investors,100,n/a,n/a,n/a,n/a,Partnerships UK Database,,
52,01/07/2004,Noble PFI Fund,Newham Mental Health Facilities,,05/09/2000,Infrastructure Investors,100,n/a,n/a,n/a,n/a,Partnerships UK Database,,
52,01/07/2004,Noble PFI Fund,"Castlehill Hospital, East Riding",,21/02/2006,Infrastructure Investors,100,n/a,n/a,n/a,n/a,Partnerships UK Database,,
52,01/07/2004,Noble PFI Fund,Dumfries & Galloway Day Care & Maternity,,31/05/1999,Infrastructure Investors,100,n/a,n/a,n/a,n/a,Partnerships UK Database,,
52,01/07/2004,Noble PFI Fund,West Lothian Schools PPP1,,03/08/2001,Infrastructure Investors,50,n/a,n/a,n/a,n/a,Partnerships UK Database,,
52,01/07/2004,Noble PFI Fund,12 other projects,,n/a,Infrastructure Investors,n/a,n/a,n/a,n/a,n/a,Partnerships UK Database,,
53,01/07/2004,Chiltern Securities Ltd,"6 Community Health projects - Chiltern Securities Group, no details.",6,n/a,Secondary Market Infrastructure Fund,varied,10,n/a,n/a,n/a,Ashfords Solicitors – Deals Done 2006,,
54,01/07/2004,Ballast UK ,East Lothian Schools (company in receivership),1,05/12/2002,Noble PFI Fund ,30,n/a,n/a,n/a,n/a,"The Value of PFI, PricewaterhouseCoopers","PPP In-Depth, City & Financial Bulletin, 2006",
55,01/07/2004,Ballast UK,East Lothian Schools (company in receivership),1,05/12/2002,Forth Electrical Supplies,20,n/a,n/a,n/a,n/a,"The Value of PFI, PricewaterhouseCoopers","PPP In-Depth, City & Financial Bulletin, 2006",
56,13/07/2004,Global Solutions Ltd (GSL and Group 4 Falck,HMP Rye Hill,3,01/07/1999,"Englefield Capital (40.0), Electra Partners Europe (40.0) and management (20.0)",100,n/a,n/a,n/a,n/a,"Public Private Finance, June 2004 ",,
56,13/07/2004,Global Solutions Ltd (GSL and Group 4 Falck,HMP Altcourse,,20/12/1995,"Englefield Capital (40.0), Electra Partners Europe (40.0) and management (20.0)",100,n/a,n/a,n/a,n/a,Group 4 Falck RNS 26/05/2004,,
56,13/07/2004,Global Solutions Ltd (GSL and Group 4 Falck,New Acommodation Project (GCHQ),,22/06/2000,"Englefield Capital (40.0), Electra Partners Europe (40.0) and management (20.0)",100,n/a,n/a,n/a,n/a,Group 4 Falck RNS 13/07/2004,,
57,01/08/2004,Impregilo S.p.A.,"A69 Link Road, Carlisle-Newcastle",1,01/12/1995,Henry Boot Construction,23.5,n/a,n/a,n/a,n/a,Henry Boot plc AR 2004 p18,,
58,01/09/2004,Morrison Construction (AWG Project Investment),"A69 Link Road, Carlisle-Newcastle",1,01/12/1995,ASTM – SINA,12,n/a,n/a,n/a,n/a,Partnerships UK database,,
59,01/09/2004,Morrison Construction (AWG Project Investment),"A69 Link Road, Carlisle-Newcastle",1,01/12/1995,Henry Boot Construction,6.8,5,n/a,n/a,n/a,Henry Boot plc AR 2004 p18,Partnerships UK database,
60,01/09/2004,Halifax Bank of Scotland,"Ingleby Barwick Community Campus, Stockton on Tees",1,23/04/2002,PFI Infrastructure Company PLC,8.6,n/a,n/a,n/a,n/a,Partnerships UK Database,,
61,01/09/2004,Quayle Munro Holdings PFI Fund  ,Aberdeenshire Schools PPP1 ,10,07/03/2001,PFI Infrastructure Company (listing on Alternative Investment Market),20,4.4,2.1,2.33,39.2,Quayle Munro Holdings plc AR 2004 p9,,
61,01/09/2004,Quayle Munro Holdings PFI Fund  ,"Ingleby Barwick Campus, Stockton",,23/04/2002,PFI Infrastructure Company (listing on Alternative Investment Market),20,see above,see above,see above,see above,Quayle Munro Holdings plc AR 2004 p10,,
61,01/09/2004,Quayle Munro Holdings PFI Fund  ,Falkirk Schools PPP1,,31/08/1998,PFI Infrastructure Company (listing on Alternative Investment Market),3,see above,see above,see above,see above,Quayle Munro Holdings plc AR 2004 p11,,
61,01/09/2004,Quayle Munro Holdings PFI Fund  ,Edinburgh Schools PPP1,,15/11/2001,PFI Infrastructure Company (listing on Alternative Investment Market),10,see above,see above,see above,see above,Quayle Munro Holdings plc AR 2004 p12,,
61,01/09/2004,Quayle Munro Holdings PFI Fund  ,Chester-le-Street Hospital,,30/05/2002,PFI Infrastructure Company (listing on Alternative Investment Market),20,see abov,see above,see above,see above,Quayle Munro Holdings plc AR 2004 p13,,
61,01/09/2004,Quayle Munro Holdings PFI Fund  ,Tiverton Community Hospital,,01/07/2002,PFI Infrastructure Company (listing on Alternative Investment Market),40,see above,see above,see above,see above,Quayle Munro Holdings plc AR 2004 p14,,
61,01/09/2004,Quayle Munro Holdings PFI Fund  ,"Forfar & Kirriemuir Resource Centre, NHS Tayside",,30/03/2003,PFI Infrastructure Company (listing on Alternative Investment Market),40,see above,see above,see above,see above,Quayle Munro Holdings plc AR 2004 p15,,
61,01/09/2004,Quayle Munro Holdings PFI Fund  ,"Mid Argyll Community Hospital, Lochigilphead, Scotland",,04/02/2004,PFI Infrastructure Company (listing on Alternative Investment Market),40,see above,see above,see above,see above,Quayle Munro Holdings plc AR 2004 p16,,
61,01/09/2004,Quayle Munro Holdings PFI Fund  ,Salisbury Hospital,,04/04/2004,PFI Infrastructure Company (listing on Alternative Investment Market),40,see above,see above,see above,see above,Quayle Munro Holdings plc AR 2004 p17,,
61,01/09/2004,Quayle Munro Holdings PFI Fund  ,Staffordshire street lighting.,,01/04/2003,PFI Infrastructure Company (listing on Alternative Investment Market),40,see above,see above,see above,see above,Quayle Munro Holdings plc AR 2004 p18,,
62,01/09/2004,Bank of Scotland,Aberdeenshire schools PPP1,3,07/03/2001,PFI Infrastructure Company,8.8,0.6,n/a,n/a,n/a,"PFI Infrastructure Co AR 2005 p3, ",,
62,01/09/2004,Bank of Scotland,Chester-le-Street Hospital,,30/05/2002,PFI Infrastructure Company,see above,see above,n/a,n/a,n/a,PFI Infrastructure Co RNS 13/1/2005,,
62,01/09/2004,Bank of Scotland,"Ingleby Barwick Campus, Stockton,",,23/04/2002,PFI Infrastructure Company,see above,see above,n/a,n/a,n/a,PFI Infrastructure Co RNS 13/1/2006,,
63,15/10/2004,John Laing plc ,M40 Denham to Warwick,1,01/09/1996,Secondary Market Infrastructure Fund,50,26.3,6.4 (in 3 months),0.25,128.6,Laing AR 2004 p4 and 7,Laing Press15/10/2004,SMIF.com accessed 06/06/2006
64,01/11/2004,Royal Bank of Scotland ,"Highland Schools 1, Scotland",1,12/06/2001,Henderson Infrastructure,50,n/a,n/a,n/a,n/a,Partnerships UK database,,
65,01/11/2004,MJ Gleeson Group plc,"Highland Schools 1, Scotland",2,12/06/2001,Henderson infrastructure,50,n/a,2.2,n/a,n/a,Gleeson AR 2005 p28,,
65,01/11/2004,MJ Gleeson Group plc,"Secure Training Centre (Oakhill), Milton Keynes",,22/05/2003,Henderson infrastructure,25,n/a,2.2,n/a,n/a,Partnerships UK database,,
66,01/11/2004,Impregilo S.p.A (Italy).,"St David’s Hospital, Cardiff, Wales",1,31/03/2000,Secondary Market Infrastructure Fund,66.7,n/a,n/a,n/a,n/a,Partnerships UK Database,,
67,01/12/2004,PFI Infrastructure Company,Falkirk Schools Partnership PPP1,1,31/08/1998,Secondary Market Infrastructure Fund,2.7,0.8,0.24,0.5 since July-04,85.7,PFI Infrastructure AR 2005 p3,,
68,01/12/2004,Interserve plc,"Neath Port Talbot Hospital, Wales",1,12/05/2000,Secondary Market Infrastructure Fund,25.5,4.3,1.9,4.58,17.3,Interserve AR 2004 p25,Interserve AR 2003 p73,
69,07/12/2004,Jarvis plc,University Partnerships Programme (student housing projects at several universities),1,n/a,Alma Mater Fund (Barclays and 3i),50,n/a,n/a,n/a,n/a,Jarvis plc RNS 0866G 07/12/2004,,
70,01/01/2005,HSBC,Hereford Hospital - Mercia Healthcare (Holdings) Ltd,1,16/04/1999,Secondary Market Infrastructure Fund,25,5.6,2.9,5.75,18.7,Mercia Holdings AR 2005,Partnerships UK Database,
